hour,forecast_hour,ta (RMSE),ta (MAE),GHI (RMSE),GHI (MAE),rh (RMSE),rh (MAE),va (RMSE),va (MAE),WBGT (RMSE),WBGT (MAE)
9,1,0.5613703971150781,0.4347053846153818,78.42277436090576,50.117582417582426,6.236096623602066,5.126373626373626,0.7359601531567344,0.5325380468131868,0.5754361133048557,0.48988728096353645
9,2,0.6968248513510671,0.5454642857142853,95.07890823525894,58.38571428571429,8.139018759876793,6.831868131868131,0.9759401174705283,0.7278755494505496,0.7797256236752746,0.6515839459447226
9,3,0.6925155719913829,0.5604751648351689,95.37891408874003,61.7989010989011,8.71212998016035,7.56153846153846,0.9730277062243857,0.7347402786813187,0.7683506255382295,0.6607227772488116
9,4,0.7007860147406271,0.5546805494505532,95.01467787131108,58.15604395604395,8.535594509252043,7.423076923076922,0.9451657702939951,0.7070565498901099,0.7278527802167442,0.6214861395795156
9,5,0.8558488696552148,0.6902821978021982,102.38862509795973,63.43736263736264,8.852801133657522,7.428571428571429,1.0384200023733883,0.8218334973626373,0.7340908160852396,0.597654773800354
9,6,0.8088139321253018,0.6684019780219769,103.20984757939834,66.27582417582418,8.659771841777838,7.314285714285715,1.0914278069814456,0.8715141012087914,0.8355481156037557,0.6917871765241975
9,7,0.7524901094081841,0.613278791208791,92.19636175511006,60.26483516483517,8.20783597719712,6.870329670329671,1.1277850532976308,0.8872844726373625,0.7893396264299749,0.6537568326510115
9,8,0.6813719119436258,0.5675768131868124,96.57749777729323,65.23406593406592,8.055078256248397,6.359340659340659,1.1108801347547816,0.8789077467032967,0.8805612784779806,0.7626729833439362
9,9,0.7149322105319084,0.581250219780218,95.30946068834561,62.238461538461536,8.276160653638566,6.768131868131865,1.1965204896211223,0.9636531819780221,0.9096113097694843,0.7344375092222214
9,10,0.7499536193417128,0.6037095604395585,100.67828699639001,68.03186813186812,8.285105131075104,6.943956043956042,1.1423098448700555,0.886262237142857,0.8963159747553271,0.7118599595230999
9,11,0.7608866528755637,0.5942689010989023,93.32842870420355,64.09450549450548,8.27343823448149,6.770329670329669,1.1199211218262202,0.9060394264835164,0.9131142931374943,0.7554328517163925
9,12,0.8261697587649917,0.6013016483516498,101.41953287385842,71.47362637362637,7.956157336330117,6.615384615384614,1.2001813749000132,0.9957787815384617,0.9803025672343645,0.7997551585060435
9,13,0.8511811059448976,0.6462231868131869,98.3320088071222,65.12967032967035,8.127169194798341,6.873626373626372,1.1770394248489757,0.9985409071558121,0.9983769693158773,0.8072217713150212
9,14,0.881779775115813,0.6250025274725302,92.92627173206712,65.02967032967032,7.941772991074363,6.656043956043954,1.291777281496979,1.1023667568131867,1.0490479488882773,0.8505291390329884
9,15,0.7948514243303584,0.6127175555555554,86.65381122605051,59.669999999999995,7.85609459096708,6.315555555555557,1.1861706908403586,0.9971200628888888,0.9245131281259905,0.749166568351264
9,16,0.7078887603289127,0.5175724444444482,96.92777379746909,70.19777777777777,7.3663423759692295,6.236666666666666,1.2556218049482128,1.0086694317777778,1.0247132760914672,0.8632439291522669
9,17,0.8141745148390085,0.5955948888888878,100.54281288198686,72.38555555555557,7.7555571474051215,6.535555555555555,1.1921233311557402,0.9671263224444445,1.2005162659416542,1.0225808248155766
9,18,0.7368776690031743,0.5495766666666635,100.7295923638023,72.11222222222221,7.456756816620896,6.30333333333333,1.142652207928866,0.9388242366666668,1.1742324701423568,1.0080416679407327
12,1,0.6079665139699607,0.46137043956043783,93.66856174881335,46.42798824175824,6.242340361339902,5.0307692307692315,0.9363410428985584,0.8097516030769231,0.7081484507955503,0.6409638466377287
12,2,0.7183381560668595,0.5549564835164835,127.29951794571507,60.69476043956044,7.432990021474579,6.22967032967033,0.9568883825678266,0.8037981892307693,0.8603736771485487,0.7465454308319648
12,3,0.8226252527864483,0.6626308791208736,125.3661881492471,57.33940230769231,8.166589668471584,7.092307692307692,1.137874566940594,0.930522481868132,0.8999766610052985,0.7272242838953961
12,4,0.7965300265436986,0.6547414285714235,124.64339154140926,64.69340659340659,8.49721350576984,7.386813186813187,1.178069485816039,0.9942797170329669,0.9053617884650238,0.7755721535163772
12,5,0.8702320265441132,0.7245790109890111,121.0091826469725,59.063210989011004,9.483235642003116,8.172527472527474,1.1709493567406715,0.9914253086813186,0.8906438266865389,0.7724501155415875
12,6,0.8671844523374598,0.7108360439560422,137.28693847751993,62.9646134065934,9.140779296856815,7.969230769230771,1.209853129635755,1.0139083346153848,0.9038588478438438,0.7843632372015754
12,7,0.9112530632282413,0.7350082417582398,112.42962050036772,54.48135824175824,9.217190103637519,7.880219780219779,1.250227601941832,0.998155430769231,0.8798987928831199,0.7868326931739973
12,8,0.9794592137114081,0.8051058241758193,110.72673520929754,54.096703296703296,9.205642082649431,7.702197802197802,1.1347095609193862,0.9676666206593407,0.7971600294835713,0.6892020885335853
12,9,0.9598620082200178,0.791178461538457,110.39853230032513,55.489010989011,9.145652903591248,7.85824175824176,1.111943958134352,0.9192877247252746,0.7965233160811722,0.6944429643126375
12,10,1.0473927206818638,0.8177128571428515,128.99495250920938,63.28533846153846,9.073636488248752,7.752747252747253,1.0953245157340632,0.9102115848351647,0.9498316513738257,0.736829626815547
12,11,0.9293592095679627,0.7638129670329649,127.33491014116804,61.34945054945055,8.861107761969198,7.627472527472528,1.0160930357275122,0.8675709703296703,0.899138247753961,0.750840513235825
12,12,0.9560846502760086,0.7572939560439503,132.33339722828106,66.93076923076923,8.648006821113288,7.394505494505493,1.036398411564677,0.8925931243956045,0.9229417868555289,0.7761955888925077
12,13,0.9640075262593176,0.7766159340659299,153.6994140851223,74.38901098901098,8.497187640754898,7.21978021978022,1.0089087079714072,0.8652509575821594,0.9612173913112889,0.7699518428417279
12,14,0.9398235154684427,0.7636471428571355,107.7441347425862,51.50879120879122,8.371740796037821,7.267032967032968,1.1257846792172637,0.9523865510989011,0.824264239453617,0.7253166707772558
12,15,0.9952772651614444,0.8062356043956002,144.59540711323356,69.56153846153846,8.802097652089705,7.523076923076923,1.1447105090216378,0.9651625249450552,0.9257859052048921,0.7779444396192301
12,16,1.1827950947477492,0.8673034065934055,161.77269122560097,78.1901098901099,8.878799295123015,7.374725274725275,1.2088638010431658,1.0322439049450551,1.1745607284374049,0.8380934680104409
12,17,0.9726841394335001,0.7846057142857116,126.37540752208726,63.84065934065934,8.359524409417581,7.067032967032968,1.1708745073620215,1.016705214835165,0.8944572032496626,0.773456371365825
12,18,1.1766682407567337,0.7861005555555506,155.049161534568,80.72716333333334,8.279694036214947,6.8311111111111105,1.0671839028524877,0.9216606332222222,1.1402758289137893,0.8298402747937378
15,1,0.5898090673372085,0.40026098901098633,189.8103738523741,75.27472527472527,5.512712580935088,4.170329670329671,0.8514545205943428,0.7055807326373628,0.8805166956873567,0.7420546660747717
15,2,0.8442183832443434,0.5137207692307661,184.46709703930912,67.6043956043956,7.722935728318363,6.105494505494507,0.963460864435997,0.8264045116483517,1.0380910702959094,0.8472766982104629
15,3,1.0070697278777176,0.6997704395604382,193.4810380577696,76.89010989010988,9.584282004326747,7.8901098901098905,1.1873942906284431,0.9845588830769231,1.0080472365357283,0.8572036065388142
15,4,1.218998036999113,0.8894974725274699,161.27881802287968,65.2967032967033,10.15027201497684,8.258241758241759,1.149730872431063,0.9257596748351647,0.9377775150972303,0.7423932131021133
15,5,1.0579151719976705,0.8339681318681295,160.5643549730515,57.83516483516483,9.978460318589754,8.542857142857144,1.2063376304285822,0.9527905374725275,0.9121860954286111,0.7779412589601348
15,6,1.0661158000506215,0.8627256043956,148.79036067088293,56.81318681318681,9.819721130303195,8.537362637362639,1.0907272297174335,0.8344738220879121,0.8775100631819592,0.7422257174902447
15,7,1.348731739522582,0.978443296703293,210.00363680785978,82.18681318681318,10.701663627474206,9.071428571428571,1.3638753855938026,0.980061453956044,1.1735038575877301,0.8527512979131018
15,8,1.3234333839572427,1.0279759340659298,180.85268122892816,73.6043956043956,10.142289877342492,8.891208791208793,1.1994477325715402,0.9867216489010988,1.0040889714386811,0.7234515152129676
15,9,1.2578963535252348,1.0046218681318653,170.381278959222,67.75824175824175,10.025270268478748,8.752747252747254,1.1208495507252636,0.9256057792307693,0.8725375597202861,0.6731943954972758
15,10,1.1825621570923086,0.9675160439560448,168.61279525965617,70.01098901098901,10.187942668869699,8.693406593406594,1.1531733984403174,0.931250786923077,0.9050568039772923,0.7248265823904633
15,11,1.2296485955925995,0.9983961538461543,152.902971460069,64.83516483516483,10.15405510940507,8.470329670329672,1.045143141069188,0.834132002307692,0.8897044808233344,0.6664072084748565
15,12,1.2741040591277113,1.0373204395604372,177.71118067320282,81.83516483516483,10.29476021634734,8.695604395604395,1.153901186331631,0.9249398451648352,0.9689718222267389,0.7075587204792574
15,13,1.2700832979488292,1.0216073626373603,170.68514165684599,71.46153846153847,10.174013438685318,8.43956043956044,1.0978435053496327,0.9123962559611326,0.8069534801316227,0.6405092566181261
15,14,1.3672682500973108,1.0441576923076847,196.9683133996849,85.7032967032967,10.629959734450736,8.650549450549452,1.1143837712742553,0.8695204012087913,1.0927681140017123,0.7959267706265101
15,15,1.3381087502191962,1.0030799999999946,154.9543711640854,69.25274725274726,10.521009854175041,8.472527472527473,1.0431756925160915,0.8480750561538464,0.8737076754591022,0.6779371950638703
15,16,1.3322410140506367,0.961994725274719,146.78080390706543,64.36263736263736,10.075904235047403,8.209890109890111,1.3763058558098635,0.9463257946153846,0.9497983867200197,0.707182828789586
15,17,1.2599953154426249,0.9714739560439538,152.60942750248873,60.494505494505496,10.514626129224123,8.600000000000001,1.0608226705183414,0.8713563528571427,0.8205426912281059,0.6410557916779348
15,18,1.1322934271645293,0.8835775824175766,144.59344292278172,65.74725274725274,9.29871786033719,7.975824175824177,1.2078766882213796,0.9758652253846155,0.8783221442689298,0.7125041806906813
18,1,0.8242586609843384,0.6117209890109913,84.6108610179438,37.32307692307692,4.690907735674982,3.1912087912087923,1.109855850542824,0.8032757603296703,0.8056723062232042,0.6640519534508579
18,2,0.8753549881142472,0.6527172527472578,59.54994302504171,26.069230769230767,5.145188726661738,3.7252747252747254,1.5346632599447658,1.1718078801098903,0.7705255660058972,0.6358854251749244
18,3,1.3955514751523894,0.879221318681322,79.07719625171954,35.21428571428572,6.940951893423061,5.176923076923076,1.4183586642431676,1.1115836943956043,1.0455581636371198,0.7627887455670136
18,4,1.216651686775209,0.8604746153846176,77.47988111775841,37.152747252747254,7.876840444278111,5.971428571428572,1.6811067349304785,1.2183609796703296,0.9854266409914574,0.7596154585154952
18,5,1.5452151439940576,1.0254134065934073,82.87471603640277,37.49035274725275,9.451053781585287,6.9912087912087895,1.4143011613035905,1.1151166504395607,1.0690839685146474,0.7816342180130569
18,6,1.633305055357401,1.0145467032967042,83.88645386984207,37.34945054945055,10.097382970707947,7.578021978021976,1.4093177983558742,1.1033080229670331,1.133778070884723,0.8031362002607484
18,7,2.0639263581770635,1.1939896703296724,85.22069668136457,36.2956043956044,10.987130333578143,8.047252747252749,1.7770346944892397,1.2559197193406595,1.191902222774812,0.7847019436158487
18,8,2.120202480951519,1.2473459340659352,86.79660638020866,41.256043956043946,11.654518531359509,8.627472527472527,1.4593254361616224,1.122998969120879,1.2380174088069358,0.7919917195169014
18,9,1.847772258511363,1.175793736263736,91.01495469439061,42.94285714285715,11.016890129790173,8.210989010989012,1.3488631013818435,1.052088731758242,1.1725684697720444,0.7844087939444879
18,10,2.3493070760323347,1.4018831868131874,96.9714838564342,43.994505494505496,12.415764527052243,8.94945054945055,1.7493841140005342,1.24629809989011,1.2821916262958535,0.7965458309845935
18,11,1.7778018588717106,1.1887478021978068,102.38076259459366,45.39010989010989,10.334918937783183,7.6000000000000005,1.489400199220175,1.1421615658241757,1.0583222095829266,0.6864826149791479
18,12,2.0149155730181887,1.303883296703297,99.63923550864514,46.071428571428584,11.220472850509065,8.33076923076923,1.3923231484869534,1.0661023493406592,1.1844886797248333,0.7312928426077162
18,13,1.8322437037704882,1.2699048351648363,107.21748565774722,50.60659340659341,10.699984594833317,8.30989010989011,1.4363098352948578,1.108064441857397,1.0652858791315745,0.7792057449772599
18,14,1.409126740854888,1.1221321978022005,100.21622228357647,49.49890109890111,9.197867645860601,7.743956043956045,1.3416099231307885,1.0689821790109892,1.020229404018899,0.7213582467745944
18,15,1.5790942836792095,1.1534497802197825,100.37050593445497,48.090109890109886,9.43763799840887,7.6571428571428575,1.6196661551215084,1.1748045823076922,1.0534878199907896,0.7451917261332783
18,16,1.4423830514159868,1.101966923076926,113.31785646316557,61.15054945054945,9.161355770869264,7.23846153846154,1.5679005976620473,1.14281068010989,1.1358173048420488,0.817831812605696
18,17,1.5868476730055352,1.1373232967032962,107.84274163371832,51.82417582417582,9.041260730915551,7.4153846153846175,1.571476295553781,1.1721551331868132,1.155601253884839,0.7940333473448776
18,18,1.646420545093685,1.1866561538461537,111.61117652491045,58.88571428571428,10.218863187026473,7.8208791208791215,1.362335906094595,1.0786814064835166,1.1602290202780978,0.802866027119213
